💾 Output directory: exchange/idea7_mvp
📚 Loading training data from exchange/idea7_synthetic_data/synthetic_train.json
   Loaded 20 valid samples
   Train: 16, Val: 4
🖥️  Device: cuda
🧠 Model: LearnableQUBO

🚀 Starting training for 50 epochs
Epoch   1/50 | T=1.000 | Loss=0.6746 | Recall=0.6250 | Val_Recall=1.0000 | w_a=2.177 | w_b=1.000
Epoch  23/50 | T=0.487 | Loss=0.6291 | Recall=0.8750 | Val_Recall=1.0000 | w_a=2.621 | w_b=1.000
Epoch  24/50 | T=0.463 | Loss=0.6469 | Recall=0.9062 | Val_Recall=1.0000 | w_a=2.854 | w_b=1.000
Epoch  25/50 | T=0.440 | Loss=0.6397 | Recall=0.9375 | Val_Recall=1.0000 | w_a=2.310 | w_b=1.000
Epoch  26/50 | T=0.417 | Loss=0.6391 | Recall=0.7500 | Val_Recall=1.0000 | w_a=2.635 | w_b=1.000
Epoch  27/50 | T=0.393 | Loss=0.6377 | Recall=0.8750 | Val_Recall=1.0000 | w_a=2.831 | w_b=1.000
Epoch  28/50 | T=0.370 | Loss=0.6515 | Recall=0.9375 | Val_Recall=1.0000 | w_a=2.556 | w_b=1.000
Epoch  29/50 | T=0.347 | Loss=0.6194 | Recall=0.8750 | Val_Recall=1.0000 | w_a=2.310 | w_b=1.000
Epoch  30/50 | T=0.323 | Loss=0.6466 | Recall=0.7812 | Val_Recall=1.0000 | w_a=2.505 | w_b=1.000
Epoch  31/50 | T=0.300 | Loss=0.6357 | Recall=0.8438 | Val_Recall=1.0000 | w_a=2.029 | w_b=1.000
Epoch  32/50 | T=0.300 | Loss=0.6356 | Recall=0.7500 | Val_Recall=1.0000 | w_a=2.112 | w_b=1.000
Epoch  33/50 | T=0.300 | Loss=0.6376 | Recall=0.9062 | Val_Recall=1.0000 | w_a=2.427 | w_b=1.000
Epoch  34/50 | T=0.300 | Loss=0.6220 | Recall=0.8125 | Val_Recall=1.0000 | w_a=2.003 | w_b=1.000
Epoch  35/50 | T=0.300 | Loss=0.6528 | Recall=0.8438 | Val_Recall=1.0000 | w_a=2.669 | w_b=1.000
Epoch  36/50 | T=0.300 | Loss=0.6487 | Recall=0.8438 | Val_Recall=1.0000 | w_a=2.312 | w_b=1.000
Epoch  37/50 | T=0.300 | Loss=0.6495 | Recall=0.8125 | Val_Recall=1.0000 | w_a=1.914 | w_b=1.000
Epoch  38/50 | T=0.300 | Loss=0.6302 | Recall=0.8125 | Val_Recall=1.0000 | w_a=2.271 | w_b=1.000
Epoch  39/50 | T=0.300 | Loss=0.6265 | Recall=0.8438 | Val_Recall=1.0000 | w_a=2.084 | w_b=1.000
Epoch  40/50 | T=0.300 | Loss=0.6484 | Recall=0.7812 | Val_Recall=1.0000 | w_a=2.146 | w_b=1.000
Epoch  41/50 | T=0.300 | Loss=0.6335 | Recall=0.7812 | Val_Recall=1.0000 | w_a=2.057 | w_b=1.000
Epoch  42/50 | T=0.300 | Loss=0.6453 | Recall=0.8125 | Val_Recall=1.0000 | w_a=2.602 | w_b=1.000
Epoch  43/50 | T=0.300 | Loss=0.6339 | Recall=0.8438 | Val_Recall=1.0000 | w_a=2.495 | w_b=1.000
Epoch  44/50 | T=0.300 | Loss=0.6396 | Recall=0.7812 | Val_Recall=1.0000 | w_a=2.205 | w_b=1.000
Epoch  45/50 | T=0.300 | Loss=0.6441 | Recall=0.8438 | Val_Recall=1.0000 | w_a=1.835 | w_b=1.000
Epoch  46/50 | T=0.300 | Loss=0.6394 | Recall=0.7812 | Val_Recall=1.0000 | w_a=2.433 | w_b=1.000
Epoch  47/50 | T=0.300 | Loss=0.6311 | Recall=0.7812 | Val_Recall=1.0000 | w_a=2.475 | w_b=1.000
Epoch  48/50 | T=0.300 | Loss=0.6411 | Recall=0.9062 | Val_Recall=1.0000 | w_a=2.709 | w_b=1.000
Epoch  49/50 | T=0.300 | Loss=0.6195 | Recall=0.9375 | Val_Recall=1.0000 | w_a=2.087 | w_b=1.000
Epoch  50/50 | T=0.300 | Loss=0.6179 | Recall=0.8125 | Val_Recall=1.0000 | w_a=2.013 | w_b=1.000

✅ Training complete!
   Best validation Recall: 1.0000
   Model saved to: exchange/idea7_mvp/best_model.pt
