question_id,pool_size,K,control_gold_hits,spectral_dpp_gold_hits,gold_hit_delta,selection_changed,spectral_dpp_redundancy
nq_153,15,5,1,1,0,True,0.7049666032089948
nq_154,15,5,0,0,0,True,0.8810327436942463
nq_155,15,5,0,0,0,True,0.672553034025664
nq_156,15,5,3,4,1,True,0.8682691023614554
nq_157,15,5,3,3,0,True,0.7270359531888193
nq_158,15,5,0,0,0,True,0.6669514970256468
nq_159,15,5,0,0,0,True,0.7145377569418241
nq_16,15,5,1,1,0,True,0.7973541831371616
nq_160,15,5,1,1,0,True,0.7405512967891585
nq_161,15,5,1,1,0,True,0.8251619575527271
nq_162,15,5,4,4,0,True,0.7827820481251692
nq_163,15,5,0,0,0,True,0.7001609607152997
nq_164,15,5,2,2,0,True,0.7277034887488416
nq_165,15,5,3,3,0,True,0.7044088060512205
nq_166,15,5,1,1,0,True,0.8010131883613363
nq_167,15,5,2,2,0,True,0.8129930450157558
nq_168,15,5,1,1,0,True,0.8057851765580107
nq_169,15,5,1,1,0,True,0.8388943975212302
nq_17,15,5,1,1,0,True,0.8234791843263715
nq_170,15,5,1,1,0,True,0.8395563012593872
nq_171,15,5,3,2,-1,True,0.8277094288489508
nq_172,15,5,0,0,0,True,0.6488765919871284
nq_173,15,5,2,2,0,True,0.8904616751255249
nq_174,15,5,3,3,0,True,0.8105775755463418
nq_175,15,5,3,3,0,True,0.7454957667800279
nq_176,15,5,0,0,0,True,0.7741186841078609
nq_177,15,5,1,1,0,True,0.802719988864865
nq_178,15,5,3,4,1,True,0.8357406142137304
nq_179,15,5,0,0,0,True,0.6716590116338097
nq_18,15,5,1,1,0,True,0.8053153524811634
nq_180,15,5,1,2,1,True,0.8495233195611116
nq_181,15,5,2,1,-1,True,0.7648988719954961
nq_182,15,5,0,0,0,True,0.7001796546644534
nq_183,15,5,0,0,0,True,0.6426260933758592
nq_184,15,5,2,2,0,True,0.8289451448847499
nq_185,15,5,0,0,0,True,0.6993636784822674
nq_186,15,5,4,4,0,True,0.8177049319897998
nq_187,15,5,1,1,0,True,0.7784468621893893
nq_188,15,5,1,1,0,True,0.6682250384102588
nq_189,15,5,0,0,0,True,0.6511800447611391
nq_19,15,5,5,5,0,True,0.7832095675627189
nq_190,15,5,3,2,-1,True,0.8290368303025965
nq_191,15,5,4,4,0,True,0.7913629567748727
nq_192,15,5,1,1,0,True,0.7569858425902919
nq_193,15,5,0,0,0,True,0.7972534296949243
nq_194,15,5,3,3,0,True,0.7197537680083783
nq_195,15,5,0,0,0,True,0.9357092727778407
nq_196,15,5,4,4,0,True,0.7703895960752087
nq_197,15,5,1,1,0,True,0.8366675199396593
nq_198,15,5,5,5,0,True,0.7846494550728941
nq_199,15,5,2,2,0,True,0.7952175707983682
nq_2,15,5,3,2,-1,True,0.6395188823615063
nq_20,15,5,2,2,0,True,0.8389580345605078
nq_21,15,5,3,2,-1,True,0.637374366729417
nq_22,15,5,4,3,-1,True,0.7611798794925517
nq_23,15,5,3,3,0,True,0.822143947490417
nq_24,15,5,4,3,-1,True,0.8960860935639493
nq_25,15,5,4,4,0,True,0.7718850651428917
nq_26,15,5,0,0,0,True,0.6727415658000854
nq_27,15,5,1,1,0,True,0.6471080297508526
nq_28,15,5,5,5,0,True,0.84806005824649
nq_29,15,5,1,1,0,True,0.854679389984977
nq_3,15,5,5,5,0,True,0.8813750962302713
nq_30,15,5,4,4,0,True,0.7933957345585538
nq_31,15,5,1,1,0,True,0.7542763250521004
nq_32,15,5,0,0,0,True,0.7884039045177901
nq_33,15,5,0,0,0,True,0.5934109540276982
nq_34,15,5,2,2,0,True,0.8105511699433826
nq_35,15,5,3,2,-1,True,0.8269662267322948
nq_36,15,5,0,0,0,True,0.7486184147000068
nq_37,15,5,3,3,0,True,0.7393257980810526
nq_38,15,5,5,5,0,True,0.856818363083622
nq_39,15,5,1,1,0,True,0.8500325287756467
nq_4,15,5,4,4,0,True,0.8453805884079003
nq_40,15,5,0,0,0,True,0.8805671142952354
nq_41,15,5,0,0,0,True,0.8029609282684909
nq_42,15,5,3,3,0,True,0.8090624904723966
nq_43,15,5,0,0,0,True,0.6789006493212654
nq_44,15,5,0,0,0,True,0.8590641698674671
nq_45,15,5,5,5,0,True,0.8605790329679536
nq_46,15,5,0,1,1,True,0.8496241340046733
nq_47,15,5,2,2,0,True,0.8695521686230535
nq_48,15,5,2,2,0,True,0.7511788415797642
nq_49,15,5,1,1,0,True,0.7737550303802594
nq_5,15,5,0,0,0,True,0.8668816570015376
nq_50,15,5,0,0,0,True,0.7594973493197579
nq_51,15,5,2,3,1,True,0.8360686700464784
nq_52,15,5,0,0,0,True,0.6580139092928327
nq_53,15,5,3,3,0,True,0.713927754205845
nq_54,15,5,1,1,0,True,0.8166734013963197
nq_55,15,5,2,2,0,True,0.7950822940482928
nq_56,15,5,0,0,0,True,0.7440232631394793
nq_57,15,5,4,4,0,True,0.8261734202623845
nq_58,15,5,0,0,0,True,0.6135741339489021
nq_59,15,5,0,0,0,True,0.6484230710338081
nq_6,15,5,0,0,0,True,0.8835580266961426
nq_60,15,5,4,4,0,True,0.7980892725757035
nq_61,15,5,4,4,0,True,0.761773208466668
nq_62,15,5,3,3,0,True,0.8016470547823156
nq_63,15,5,1,1,0,True,0.814030960665535
nq_64,15,5,3,3,0,True,0.8210698008573184
nq_65,15,5,5,5,0,True,0.8986479502128718
nq_66,15,5,4,4,0,True,0.7807348065027465
nq_67,15,5,0,0,0,True,0.6761700787675348
nq_68,15,5,0,0,0,True,0.8330172757486164
nq_69,15,5,0,0,0,True,0.6787632268143693
nq_7,15,5,0,0,0,True,0.8645173467153405
nq_70,15,5,0,0,0,True,0.7029385790640859
nq_71,15,5,2,2,0,True,0.8704958373298914
nq_72,15,5,3,3,0,True,0.7401268211497769
nq_73,15,5,3,3,0,True,0.7363225368997981
nq_74,15,5,2,2,0,True,0.8103143524869306
nq_75,15,5,4,3,-1,True,0.7301710161145368
nq_76,15,5,4,4,0,True,0.8914460782209618
nq_77,15,5,0,0,0,True,0.6292605500054242
nq_78,15,5,2,2,0,True,0.8174135103336928
nq_79,15,5,2,2,0,True,0.8260598644210679
nq_8,15,5,0,0,0,True,0.625220254602515
nq_80,15,5,4,4,0,True,0.817970817018346
nq_81,15,5,3,3,0,True,0.8287765905458077
nq_82,15,5,1,1,0,True,0.7994375719631821
nq_83,15,5,0,0,0,True,0.7450482060652505
nq_84,15,5,0,0,0,True,0.7135132356946623
nq_85,15,5,1,1,0,True,0.8338389629969738
nq_86,15,5,2,2,0,True,0.6870064431662728
nq_87,15,5,3,3,0,True,0.7217692124377784
nq_88,15,5,2,2,0,True,0.8886994540073048
nq_89,15,5,0,0,0,True,0.8466505197747967
nq_9,15,5,0,0,0,True,0.8074523201595352
nq_90,15,5,2,2,0,True,0.6720409069703914
nq_91,15,5,0,0,0,True,0.8367339007437036
nq_92,15,5,0,0,0,True,0.7710076861667334
nq_93,15,5,0,0,0,True,0.6632493663646413
nq_94,15,5,2,2,0,True,0.7319020041891664
nq_95,15,5,5,4,-1,True,0.9171641328065995
nq_96,15,5,3,2,-1,True,0.7770361865759439
nq_97,15,5,1,1,0,True,0.826671142596369
nq_98,15,5,2,3,1,True,0.7930119615246382
nq_99,15,5,2,1,-1,True,0.7917610020377598
