question_id,pool_size,K,control_gold_hits,spectral_dpp_gold_hits,gold_hit_delta,selection_changed,spectral_dpp_redundancy
nq_15,15,5,0,0,0,True,0.6591117034633027
nq_150,15,5,0,0,0,True,0.7242377473385979
nq_151,15,5,2,1,-1,True,0.8120236535927031
nq_152,15,5,2,1,-1,True,0.6714011011606945
nq_153,15,5,1,1,0,True,0.6464870738638261
nq_154,15,5,0,0,0,True,0.8684846725909846
nq_155,15,5,0,0,0,True,0.672553034025664
nq_156,15,5,3,2,-1,True,0.853762721772674
nq_157,15,5,3,2,-1,True,0.7350217701566025
nq_158,15,5,0,0,0,True,0.666841262445353
nq_159,15,5,0,0,0,True,0.6991971384217455
nq_16,15,5,1,0,-1,True,0.7466628434004761
nq_160,15,5,1,1,0,True,0.7405512967891585
nq_161,15,5,1,1,0,True,0.8251619575527271
nq_162,15,5,4,3,-1,True,0.720617813901346
nq_163,15,5,0,0,0,True,0.6600128556000681
nq_164,15,5,2,2,0,True,0.6895477618051102
nq_165,15,5,3,2,-1,True,0.6978175350875655
nq_166,15,5,1,1,0,True,0.718740016176791
nq_167,15,5,2,2,0,True,0.7752592829496845
nq_168,15,5,1,2,1,True,0.7683298895712081
nq_169,15,5,1,0,-1,True,0.8416929242935348
nq_17,15,5,1,1,0,True,0.7781152515675523
nq_170,15,5,1,1,0,True,0.8062437823339813
nq_171,15,5,3,2,-1,True,0.8110234010465742
nq_172,15,5,0,0,0,True,0.6432282071016512
nq_173,15,5,2,1,-1,True,0.6597186707279018
nq_174,15,5,3,3,0,True,0.7391316179515557
nq_175,15,5,3,4,1,True,0.7394212164715589
nq_176,15,5,0,0,0,True,0.7294738324342339
nq_177,15,5,1,2,1,True,0.7796465656065611
nq_178,15,5,3,3,0,True,0.7988025143556817
nq_179,15,5,0,0,0,True,0.6716590116338097
nq_18,15,5,1,2,1,True,0.7884074101328109
nq_180,15,5,1,2,1,True,0.8495233195611116
nq_181,15,5,2,1,-1,True,0.7648988719954961
nq_182,15,5,0,0,0,True,0.7001796546644534
nq_183,15,5,0,0,0,True,0.6028795439447211
nq_184,15,5,2,1,-1,True,0.7154229482745628
nq_185,15,5,0,0,0,True,0.6875443182938932
nq_186,15,5,4,3,-1,True,0.8189807963129967
nq_187,15,5,1,0,-1,True,0.7336611155736282
nq_188,15,5,1,1,0,True,0.6682250384102588
nq_189,15,5,0,0,0,True,0.6511800447611391
nq_19,15,5,5,4,-1,True,0.7483386845789652
nq_190,15,5,3,2,-1,True,0.7821622888694132
nq_191,15,5,4,3,-1,True,0.7861144543288343
nq_192,15,5,1,1,0,True,0.7329200925875455
nq_193,15,5,0,0,0,True,0.7474799461831751
nq_194,15,5,3,2,-1,True,0.6854636666966238
nq_195,15,5,0,0,0,True,0.9274836492734064
nq_196,15,5,4,4,0,True,0.7448820635226422
nq_197,15,5,1,1,0,True,0.7492026154763719
nq_198,15,5,5,5,0,True,0.7675800170917825
nq_199,15,5,2,1,-1,True,0.7868312079953497
nq_2,15,5,3,1,-2,True,0.6366505751947733
nq_20,15,5,2,2,0,True,0.8312198789150658
nq_21,15,5,3,1,-2,True,0.6054477824541492
nq_22,15,5,4,3,-1,True,0.723831195075891
nq_23,15,5,3,2,-1,True,0.7982124834286243
nq_24,15,5,4,1,-3,True,0.7276601572737645
nq_25,15,5,4,4,0,True,0.7538545653280855
nq_26,15,5,0,0,0,True,0.651122174313004
nq_27,15,5,1,1,0,True,0.6471080297508526
nq_28,15,5,5,4,-1,True,0.8440927345494366
nq_29,15,5,1,1,0,True,0.7920673786286303
nq_3,15,5,5,3,-2,True,0.8358710448598534
nq_30,15,5,4,2,-2,True,0.7215642557140268
nq_31,15,5,1,0,-1,True,0.7018239862952631
nq_32,15,5,0,0,0,True,0.7528997935785628
nq_33,15,5,0,0,0,True,0.5934109540276982
nq_34,15,5,2,2,0,True,0.8105511699433826
nq_35,15,5,3,1,-2,True,0.749438416727916
nq_36,15,5,0,1,1,True,0.7165650468079103
nq_37,15,5,3,2,-1,True,0.6919946286094094
nq_38,15,5,5,5,0,True,0.8105339684499195
nq_39,15,5,1,2,1,True,0.8211595577768538
nq_4,15,5,4,3,-1,True,0.8333741992035298
nq_40,15,5,0,0,0,True,0.8469795349085041
nq_41,15,5,0,0,0,True,0.7866841094051525
nq_42,15,5,3,3,0,True,0.8087631240705402
nq_43,15,5,0,0,0,True,0.6789006493212654
nq_44,15,5,0,0,0,True,0.8590641698674671
nq_45,15,5,5,5,0,True,0.8605790329679536
nq_46,15,5,0,1,1,True,0.8496241340046733
nq_47,15,5,2,2,0,True,0.8557010168454553
nq_48,15,5,2,2,0,True,0.732519739799929
nq_49,15,5,1,1,0,True,0.7611472144927018
nq_5,15,5,0,1,1,True,0.8209957212821646
nq_50,15,5,0,0,0,True,0.7439836423742925
nq_51,15,5,2,2,0,True,0.8174034809642479
nq_52,15,5,0,0,0,True,0.6563577314009954
nq_53,15,5,3,3,0,True,0.713927754205845
nq_54,15,5,1,1,0,True,0.8166734013963197
nq_55,15,5,2,1,-1,True,0.7700944505618398
nq_56,15,5,0,0,0,True,0.7387073132713805
nq_57,15,5,4,3,-1,True,0.6899994090143121
nq_58,15,5,0,0,0,True,0.608269301804677
nq_59,15,5,0,0,0,True,0.6424380619708406
nq_6,15,5,0,0,0,True,0.8593301908335722
nq_60,15,5,4,3,-1,True,0.7234310177375496
nq_61,15,5,4,3,-1,True,0.6946186368141504
nq_62,15,5,3,3,0,True,0.8016470547823156
nq_63,15,5,1,1,0,True,0.7649361778705634
nq_64,15,5,3,4,1,True,0.8321257751542837
nq_65,15,5,5,4,-1,True,0.8692293191761047
nq_66,15,5,4,4,0,True,0.7600251480540652
nq_67,15,5,0,0,0,True,0.6880732202160218
nq_68,15,5,0,0,0,True,0.8237691104790746
nq_69,15,5,0,0,0,True,0.6469218963159633
nq_7,15,5,0,0,0,True,0.8613134354015907
nq_70,15,5,0,0,0,True,0.7029385790640859
nq_71,15,5,2,2,0,True,0.8498452291874177
nq_72,15,5,3,1,-2,True,0.6726084389214338
nq_73,15,5,3,1,-2,True,0.6738237714559029
nq_74,15,5,2,1,-1,True,0.7484380549912064
nq_75,15,5,4,2,-2,True,0.6806916454089633
nq_76,15,5,4,1,-3,True,0.6744609569744329
nq_77,15,5,0,0,0,True,0.6292605500054242
nq_78,15,5,2,2,0,True,0.7816471780653652
nq_79,15,5,2,1,-1,True,0.730455831382516
nq_8,15,5,0,0,0,True,0.6044736948473567
nq_80,15,5,4,3,-1,True,0.7713546066005663
nq_81,15,5,3,3,0,True,0.821256744788825
nq_82,15,5,1,1,0,True,0.7438522030940454
nq_83,15,5,0,0,0,True,0.7450482060652504
nq_84,15,5,0,0,0,True,0.7135132356946623
nq_85,15,5,1,1,0,True,0.7927053564091573
nq_86,15,5,2,3,1,True,0.6786329741935673
nq_87,15,5,3,2,-1,True,0.6917605913401256
nq_88,15,5,2,1,-1,True,0.8760818298763086
nq_89,15,5,0,0,0,True,0.814417186907024
nq_9,15,5,0,0,0,True,0.7513778011752095
nq_90,15,5,2,1,-1,True,0.5973937844942543
nq_91,15,5,0,0,0,True,0.7631535743340003
nq_92,15,5,0,0,0,True,0.7674756374670839
nq_93,15,5,0,0,0,True,0.6632493663646413
nq_94,15,5,2,1,-1,True,0.7160163029784515
nq_95,15,5,5,2,-3,True,0.8406641301571496
nq_96,15,5,3,1,-2,True,0.6980292383182906
nq_97,15,5,1,1,0,True,0.7628188898227692
nq_98,15,5,2,4,2,True,0.78679029293796
nq_99,15,5,2,1,-1,True,0.7568661350057322
