question_id,pool_size,K,control_gold_hits,spectral_dpp_gold_hits,gold_hit_delta,selection_changed,spectral_dpp_redundancy
nq_154,15,5,0,0,0,True,0.886752744763989
nq_155,15,5,0,0,0,True,0.7260197476600263
nq_156,15,5,3,3,0,True,0.8825600566606788
nq_157,15,5,3,3,0,True,0.7270359531888193
nq_158,15,5,0,0,0,True,0.6961884779008667
nq_159,15,5,0,0,0,True,0.7145377569418241
nq_16,15,5,1,1,0,True,0.8618908111389176
nq_160,15,5,1,1,0,True,0.7518076664751783
nq_161,15,5,1,1,0,True,0.8264623341148317
nq_162,15,5,4,4,0,True,0.7827820481251692
nq_163,15,5,0,0,0,True,0.7001609607152998
nq_164,15,5,2,2,0,True,0.7277034887488416
nq_165,15,5,3,3,0,True,0.7921364222232129
nq_166,15,5,1,1,0,True,0.8441009844259515
nq_167,15,5,2,2,0,True,0.8579604624637378
nq_168,15,5,1,1,0,True,0.8119754660549358
nq_169,15,5,1,1,0,True,0.8533117370679342
nq_17,15,5,1,1,0,True,0.8234791843263715
nq_170,15,5,1,1,0,True,0.8395563012593872
nq_171,15,5,3,3,0,True,0.8679737544708657
nq_172,15,5,0,0,0,True,0.6488765919871284
nq_173,15,5,2,2,0,True,0.8904616751255249
nq_174,15,5,3,3,0,True,0.8105775755463418
nq_175,15,5,3,3,0,True,0.7454957667800279
nq_176,15,5,0,0,0,True,0.7988858384153618
nq_177,15,5,1,1,0,True,0.802719988864865
nq_178,15,5,3,4,1,True,0.8357406142137304
nq_179,15,5,0,0,0,True,0.6716590116338097
nq_18,15,5,1,1,0,True,0.8053153524811634
nq_180,15,5,1,2,1,True,0.8495233195611116
nq_181,15,5,2,2,0,True,0.7808408263231523
nq_182,15,5,0,0,0,True,0.7001796546644534
nq_183,15,5,0,0,0,True,0.6426260933758592
nq_184,15,5,2,2,0,True,0.8289451448847499
nq_185,15,5,0,0,0,True,0.6993636784822673
nq_186,15,5,4,4,0,True,0.8177049319897998
nq_187,15,5,1,1,0,True,0.7784468621893892
nq_188,15,5,1,1,0,True,0.6682250384102588
nq_189,15,5,0,0,0,True,0.6510085577313012
nq_19,15,5,5,5,0,True,0.7832095675627189
nq_190,15,5,3,3,0,True,0.8298663797050784
nq_191,15,5,4,5,1,True,0.797658149751131
nq_192,15,5,1,1,0,True,0.7980763110368669
nq_193,15,5,0,0,0,True,0.7972534296949243
nq_194,15,5,3,3,0,True,0.7197537680083783
nq_195,15,5,0,0,0,True,0.9417762143951567
nq_196,15,5,4,4,0,True,0.7703895960752087
nq_197,15,5,1,1,0,True,0.8861587196731264
nq_198,15,5,5,5,0,True,0.8385027158678066
nq_199,15,5,2,2,0,True,0.8102128129971724
nq_2,15,5,3,3,0,True,0.7073026824592535
nq_20,15,5,2,2,0,True,0.8389580345605078
nq_21,15,5,3,3,0,True,0.6636590393270507
nq_22,15,5,4,4,0,True,0.843627516521505
nq_23,15,5,3,3,0,True,0.822143947490417
nq_24,15,5,4,4,0,True,0.9102010331457289
nq_25,15,5,4,3,-1,True,0.7888285157577746
nq_26,15,5,0,0,0,True,0.6727415658000854
nq_27,15,5,1,1,0,True,0.6471080297508526
nq_28,15,5,5,5,0,True,0.84806005824649
nq_29,15,5,1,1,0,True,0.854679389984977
nq_3,15,5,5,5,0,True,0.8856787463091609
nq_30,15,5,4,4,0,True,0.8532694256501344
nq_31,15,5,1,1,0,True,0.8118790882970668
nq_32,15,5,0,0,0,True,0.8175296329548765
nq_33,15,5,0,0,0,True,0.6119338549663169
nq_34,15,5,2,2,0,True,0.8151521008734163
nq_35,15,5,3,3,0,True,0.900795916497173
nq_36,15,5,0,0,0,True,0.79193015793136
nq_37,15,5,3,3,0,True,0.7393257980810527
nq_38,15,5,5,5,0,True,0.856818363083622
nq_39,15,5,1,1,0,True,0.8500325287756467
nq_4,15,5,4,4,0,True,0.8538989055969182
nq_40,15,5,0,0,0,True,0.8863373361045189
nq_41,15,5,0,0,0,True,0.8370735235087217
nq_42,15,5,3,3,0,True,0.8090624904723966
nq_43,15,5,0,0,0,True,0.68380410695704
nq_44,15,5,0,0,0,True,0.8984311914956352
nq_45,15,5,5,5,0,True,0.8605790329679536
nq_46,15,5,0,1,1,True,0.8626551913597547
nq_47,15,5,2,2,0,True,0.8723644402056744
nq_48,15,5,2,3,1,True,0.8074684340885078
nq_49,15,5,1,0,-1,True,0.8376098351029315
nq_5,15,5,0,0,0,True,0.8888063393982742
nq_50,15,5,0,0,0,True,0.8132503968617468
nq_51,15,5,2,3,1,True,0.8360686700464784
nq_52,15,5,0,0,0,True,0.6580139092928325
nq_53,15,5,3,3,0,True,0.7195794729636529
nq_54,15,5,1,1,0,True,0.8342245564672472
nq_55,15,5,2,2,0,True,0.7929647419852626
nq_56,15,5,0,0,0,True,0.7675599469384127
nq_57,15,5,4,4,0,True,0.876398654155996
nq_58,15,5,0,0,0,True,0.6135741339489021
nq_59,15,5,0,0,0,True,0.6554038565132185
nq_6,15,5,0,0,0,True,0.8928764979397599
nq_60,15,5,4,4,0,True,0.7980892725757036
nq_61,15,5,4,4,0,True,0.761773208466668
nq_62,15,5,3,1,-2,True,0.857893965044094
nq_63,15,5,1,1,0,True,0.8693924960291743
nq_64,15,5,3,3,0,True,0.8371888670370181
nq_65,15,5,5,5,0,True,0.9032599662622465
nq_66,15,5,4,4,0,True,0.8309820659179918
nq_67,15,5,0,0,0,True,0.7000849449073352
nq_68,15,5,0,0,0,True,0.8330172757486164
nq_69,15,5,0,0,0,True,0.6787632268143693
nq_7,15,5,0,0,0,True,0.9030805196519799
nq_70,15,5,0,0,0,True,0.7439220591915813
nq_71,15,5,2,2,0,True,0.8704958373298914
nq_72,15,5,3,3,0,True,0.7401268211497769
nq_73,15,5,3,3,0,True,0.7363225368997981
nq_74,15,5,2,2,0,True,0.8103143524869306
nq_75,15,5,4,4,0,True,0.7895018737987641
nq_76,15,5,4,4,0,True,0.8914460782209618
nq_77,15,5,0,0,0,True,0.6292605500054242
nq_78,15,5,2,2,0,True,0.8174135103336928
nq_79,15,5,2,2,0,True,0.8260598644210682
nq_8,15,5,0,0,0,True,0.625220254602515
nq_80,15,5,4,5,1,True,0.8628615743697813
nq_81,15,5,3,3,0,True,0.8287765905458077
nq_82,15,5,1,1,0,True,0.7994375719631821
nq_83,15,5,0,0,0,True,0.7702313805551746
nq_84,15,5,0,0,0,True,0.7135132356946623
nq_85,15,5,1,1,0,True,0.8338389629969738
nq_86,15,5,2,2,0,True,0.6870064431662728
nq_87,15,5,3,3,0,True,0.7217692124377784
nq_88,15,5,2,2,0,True,0.9009832539235971
nq_89,15,5,0,0,0,True,0.8466505197747967
nq_9,15,5,0,0,0,True,0.8074523201595352
nq_90,15,5,2,2,0,True,0.6914946806861915
nq_91,15,5,0,0,0,True,0.8367339007437036
nq_92,15,5,0,0,0,True,0.8375911881037711
nq_93,15,5,0,0,0,True,0.6632493663646413
nq_94,15,5,2,2,0,True,0.7492176888422282
nq_95,15,5,5,4,-1,True,0.9171641328065995
nq_96,15,5,3,2,-1,True,0.7770361865759439
nq_97,15,5,1,1,0,True,0.826671142596369
nq_98,15,5,2,2,0,True,0.8701348965660698
nq_99,15,5,2,2,0,True,0.8006880570739352
