question_id,pool_size,K,control_gold_hits,spectral_dpp_gold_hits,gold_hit_delta,selection_changed,spectral_dpp_redundancy
nq_15,15,5,0,0,0,True,0.6727730841400222
nq_150,15,5,0,0,0,True,0.7260714849667798
nq_151,15,5,2,1,-1,True,0.8195119009239153
nq_152,15,5,2,1,-1,True,0.7620318216054734
nq_153,15,5,1,1,0,True,0.6879018341945828
nq_154,15,5,0,0,0,True,0.8810327436942463
nq_155,15,5,0,0,0,True,0.672553034025664
nq_156,15,5,3,3,0,True,0.8594154921145236
nq_157,15,5,3,3,0,True,0.7270359531888193
nq_158,15,5,0,0,0,True,0.6669514970256468
nq_159,15,5,0,0,0,True,0.7145377569418241
nq_16,15,5,1,1,0,True,0.7973541831371616
nq_160,15,5,1,1,0,True,0.7405512967891585
nq_161,15,5,1,1,0,True,0.8251619575527271
nq_162,15,5,4,4,0,True,0.7827820481251692
nq_163,15,5,0,0,0,True,0.6600128556000682
nq_164,15,5,2,2,0,True,0.7277034887488416
nq_165,15,5,3,3,0,True,0.7044088060512206
nq_166,15,5,1,1,0,True,0.8020173145914968
nq_167,15,5,2,2,0,True,0.7752592829496845
nq_168,15,5,1,2,1,True,0.7683298895712081
nq_169,15,5,1,1,0,True,0.8388943975212302
nq_17,15,5,1,1,0,True,0.8196988195091148
nq_170,15,5,1,1,0,True,0.8164965053238211
nq_171,15,5,3,2,-1,True,0.8277094288489506
nq_172,15,5,0,0,0,True,0.6488765919871285
nq_173,15,5,2,2,0,True,0.7611273559523231
nq_174,15,5,3,3,0,True,0.8105775755463418
nq_175,15,5,3,3,0,True,0.7366950092491097
nq_176,15,5,0,0,0,True,0.7294738324342339
nq_177,15,5,1,1,0,True,0.802719988864865
nq_178,15,5,3,4,1,True,0.8357406142137306
nq_179,15,5,0,0,0,True,0.6716590116338097
nq_18,15,5,1,1,0,True,0.8053153524811634
nq_180,15,5,1,2,1,True,0.8495233195611116
nq_181,15,5,2,1,-1,True,0.7648988719954961
nq_182,15,5,0,0,0,True,0.7001796546644534
nq_183,15,5,0,0,0,True,0.634556429747565
nq_184,15,5,2,2,0,True,0.7415919009401178
nq_185,15,5,0,0,0,True,0.6875443182938932
nq_186,15,5,4,4,0,True,0.8177049319897998
nq_187,15,5,1,1,0,True,0.7617581400549691
nq_188,15,5,1,1,0,True,0.6682250384102588
nq_189,15,5,0,0,0,True,0.6511800447611391
nq_19,15,5,5,4,-1,True,0.747428103483551
nq_190,15,5,3,2,-1,True,0.8290368303025965
nq_191,15,5,4,4,0,True,0.7913629567748726
nq_192,15,5,1,1,0,True,0.7569858425902919
nq_193,15,5,0,0,0,True,0.7719379458010454
nq_194,15,5,3,2,-1,True,0.6854636666966238
nq_195,15,5,0,0,0,True,0.9288782839895685
nq_196,15,5,4,4,0,True,0.7448820635226423
nq_197,15,5,1,1,0,True,0.789425058723831
nq_198,15,5,5,5,0,True,0.7846494550728942
nq_199,15,5,2,2,0,True,0.7952175707983682
nq_2,15,5,3,2,-1,True,0.6395188823615063
nq_20,15,5,2,2,0,True,0.8312198789150658
nq_21,15,5,3,2,-1,True,0.637374366729417
nq_22,15,5,4,4,0,True,0.7311157953998461
nq_23,15,5,3,3,0,True,0.822143947490417
nq_24,15,5,4,3,-1,True,0.8164041419260253
nq_25,15,5,4,3,-1,True,0.7639665363758702
nq_26,15,5,0,0,0,True,0.6727415658000853
nq_27,15,5,1,1,0,True,0.6471080297508526
nq_28,15,5,5,4,-1,True,0.8440927345494368
nq_29,15,5,1,1,0,True,0.8187300670234421
nq_3,15,5,5,4,-1,True,0.876313450234267
nq_30,15,5,4,3,-1,True,0.7409999658833633
nq_31,15,5,1,0,-1,True,0.7018239862952631
nq_32,15,5,0,0,0,True,0.7884039045177901
nq_33,15,5,0,0,0,True,0.5934109540276982
nq_34,15,5,2,2,0,True,0.8105511699433826
nq_35,15,5,3,1,-2,True,0.7791680091263001
nq_36,15,5,0,1,1,True,0.7165650468079103
nq_37,15,5,3,3,0,True,0.7393257980810527
nq_38,15,5,5,5,0,True,0.8261252495408853
nq_39,15,5,1,2,1,True,0.8477430208309483
nq_4,15,5,4,4,0,True,0.8445652564277077
nq_40,15,5,0,0,0,True,0.8805671142952354
nq_41,15,5,0,0,0,True,0.7866841094051525
nq_42,15,5,3,3,0,True,0.8090624904723966
nq_43,15,5,0,0,0,True,0.6789006493212654
nq_44,15,5,0,0,0,True,0.859064169867467
nq_45,15,5,5,5,0,True,0.8605790329679536
nq_46,15,5,0,1,1,True,0.8496241340046733
nq_47,15,5,2,2,0,True,0.8695521686230535
nq_48,15,5,2,2,0,True,0.7511788415797642
nq_49,15,5,1,1,0,True,0.7737550303802594
nq_5,15,5,0,0,0,True,0.8668816570015376
nq_50,15,5,0,0,0,True,0.7594973493197578
nq_51,15,5,2,3,1,True,0.8360686700464784
nq_52,15,5,0,0,0,True,0.6563577314009954
nq_53,15,5,3,3,0,True,0.713927754205845
nq_54,15,5,1,1,0,True,0.8166734013963197
nq_55,15,5,2,1,-1,True,0.7700944505618398
nq_56,15,5,0,0,0,True,0.7440232631394793
nq_57,15,5,4,4,0,True,0.7011076714843985
nq_58,15,5,0,0,0,True,0.6135741339489021
nq_59,15,5,0,0,0,True,0.6484230710338081
nq_6,15,5,0,0,0,True,0.8802098474231304
nq_60,15,5,4,3,-1,True,0.7548291819847441
nq_61,15,5,4,3,-1,True,0.6958807423132705
nq_62,15,5,3,3,0,True,0.8016470547823156
nq_63,15,5,1,1,0,True,0.814030960665535
nq_64,15,5,3,4,1,True,0.8321257751542837
nq_65,15,5,5,5,0,True,0.8909510179146102
nq_66,15,5,4,4,0,True,0.7807348065027465
nq_67,15,5,0,0,0,True,0.6880732202160218
nq_68,15,5,0,0,0,True,0.826958336003155
nq_69,15,5,0,0,0,True,0.6469218963159633
nq_7,15,5,0,0,0,True,0.8645173467153405
nq_70,15,5,0,0,0,True,0.7029385790640857
nq_71,15,5,2,2,0,True,0.8632075107363073
nq_72,15,5,3,2,-1,True,0.6932679392527685
nq_73,15,5,3,3,0,True,0.719990940563148
nq_74,15,5,2,1,-1,True,0.7660425082065185
nq_75,15,5,4,3,-1,True,0.7301710161145368
nq_76,15,5,4,2,-2,True,0.7488561080335616
nq_77,15,5,0,0,0,True,0.6292605500054242
nq_78,15,5,2,2,0,True,0.8174135103336928
nq_79,15,5,2,2,0,True,0.8000992441512214
nq_8,15,5,0,0,0,True,0.6257536551756895
nq_80,15,5,4,4,0,True,0.817970817018346
nq_81,15,5,3,3,0,True,0.8287765905458079
nq_82,15,5,1,1,0,True,0.7438522030940454
nq_83,15,5,0,0,0,True,0.7450482060652505
nq_84,15,5,0,0,0,True,0.7135132356946623
nq_85,15,5,1,1,0,True,0.8338389629969738
nq_86,15,5,2,3,1,True,0.678936525181032
nq_87,15,5,3,3,0,True,0.7217692124377784
nq_88,15,5,2,2,0,True,0.8886994540073048
nq_89,15,5,0,0,0,True,0.8410439007588122
nq_9,15,5,0,0,0,True,0.8074523201595352
nq_90,15,5,2,2,0,True,0.6131988302644619
nq_91,15,5,0,0,0,True,0.8367339007437036
nq_92,15,5,0,0,0,True,0.7710076861667334
nq_93,15,5,0,0,0,True,0.6632493663646413
nq_94,15,5,2,1,-1,True,0.7160163029784515
nq_95,15,5,5,3,-2,True,0.8987972406129833
nq_96,15,5,3,2,-1,True,0.7770361865759438
nq_97,15,5,1,1,0,True,0.8053925575769034
nq_98,15,5,2,3,1,True,0.793011961524638
nq_99,15,5,2,1,-1,True,0.7917610020377598
