question_id,pool_size,K,control_gold_hits,submodular_gold_hits,gold_hit_delta,selection_changed,submodular_redundancy
nq_142,15,5,5,5,0,True,0.8491524205466202
nq_143,15,5,2,2,0,True,0.789988918050742
nq_144,15,5,5,5,0,True,0.8880692956669604
nq_145,15,5,0,0,0,True,0.8801306528060066
nq_146,15,5,3,4,1,True,0.8248666771032273
nq_147,15,5,3,4,1,True,0.7848343231225374
nq_148,15,5,4,4,0,True,0.8889065273481828
nq_149,15,5,2,2,0,True,0.8490293243660301
nq_15,15,5,0,0,0,True,0.6952022496850264
nq_150,15,5,0,0,0,True,0.8619167808384607
nq_151,15,5,2,2,0,True,0.8791730666282416
nq_152,15,5,2,2,0,True,0.8571879021623257
nq_153,15,5,1,1,0,True,0.7144574577853932
nq_154,15,5,0,0,0,True,0.9103907119541519
nq_155,15,5,0,0,0,True,0.7211094149312826
nq_156,15,5,3,3,0,True,0.8825600566606789
nq_157,15,5,3,3,0,True,0.7727960271246717
nq_158,15,5,0,0,0,True,0.7215760473723191
nq_159,15,5,0,1,1,True,0.740987556872493
nq_16,15,5,1,1,0,True,0.8618908111389176
nq_160,15,5,1,1,0,True,0.7518076664751783
nq_161,15,5,1,1,0,True,0.8314282869139895
nq_162,15,5,4,4,0,True,0.7827820481251692
nq_163,15,5,0,0,0,True,0.719174016910834
nq_164,15,5,2,2,0,True,0.7947461753247799
nq_165,15,5,3,2,-1,True,0.8440211278840669
nq_166,15,5,1,2,1,True,0.8612747362612649
nq_167,15,5,2,2,0,True,0.8579604624637378
nq_168,15,5,1,1,0,True,0.8119754660549358
nq_169,15,5,1,2,1,True,0.861638854014763
nq_17,15,5,1,1,0,True,0.8234791843263715
nq_170,15,5,1,1,0,True,0.8897376750688762
nq_171,15,5,3,3,0,True,0.8652156225826886
nq_172,15,5,0,0,0,True,0.6759015285100073
nq_173,15,5,2,2,0,True,0.8904616751255249
nq_174,15,5,3,4,1,True,0.8382355258005919
nq_175,15,5,3,3,0,True,0.7454957667800279
nq_176,15,5,0,0,0,True,0.8330938602966157
nq_177,15,5,1,1,0,True,0.8052295703215107
nq_178,15,5,3,3,0,True,0.8885995238465455
nq_179,15,5,0,0,0,True,0.6667270105069406
nq_18,15,5,1,1,0,True,0.8263849941803085
nq_180,15,5,1,2,1,True,0.8414212529711677
nq_181,15,5,2,2,0,True,0.7808408263231523
nq_182,15,5,0,0,0,True,0.7006767111037314
nq_183,15,5,0,0,0,True,0.6426260933758592
nq_184,15,5,2,2,0,True,0.8289451448847499
nq_185,15,5,0,0,0,True,0.6993636784822673
nq_186,15,5,4,4,0,True,0.8360722044981796
nq_187,15,5,1,1,0,True,0.8090706173496229
nq_188,15,5,1,1,0,True,0.6682250384102586
nq_189,15,5,0,0,0,True,0.6510085577313012
nq_19,15,5,5,5,0,True,0.7832095675627189
nq_190,15,5,3,3,0,True,0.8298663797050784
nq_191,15,5,4,5,1,True,0.8586782164348312
nq_192,15,5,1,3,2,True,0.8524286981536701
nq_193,15,5,0,0,0,True,0.8316650553538709
nq_194,15,5,3,3,0,True,0.7237628170647487
nq_195,15,5,0,0,0,True,0.9486185379596741
nq_196,15,5,4,4,0,True,0.7703895960752087
nq_197,15,5,1,1,0,True,0.8861587196731264
nq_198,15,5,5,5,0,True,0.8340737711705755
nq_199,15,5,2,3,1,True,0.8304003197223313
nq_2,15,5,3,3,0,True,0.7073026824592535
nq_20,15,5,2,3,1,True,0.8578963356922049
nq_21,15,5,3,3,0,True,0.6636590393270507
nq_22,15,5,4,4,0,True,0.843627516521505
nq_23,15,5,3,3,0,True,0.8251881144429758
nq_24,15,5,4,4,0,True,0.9102010331457289
nq_25,15,5,4,3,-1,True,0.7888285157577746
nq_26,15,5,0,0,0,True,0.6727415658000854
nq_27,15,5,1,1,0,True,0.6471080297508526
nq_28,15,5,5,5,0,True,0.8494887869076996
nq_29,15,5,1,1,0,True,0.854679389984977
nq_3,15,5,5,5,0,True,0.9206778542074368
nq_30,15,5,4,4,0,True,0.8532694256501344
nq_31,15,5,1,1,0,True,0.8118790882970668
nq_32,15,5,0,0,0,True,0.8175296329548765
nq_33,15,5,0,0,0,True,0.6037403700293252
nq_34,15,5,2,2,0,True,0.8294475407621829
nq_35,15,5,3,3,0,True,0.900795916497173
nq_36,15,5,0,0,0,True,0.8117528494934465
nq_37,15,5,3,3,0,True,0.7393257980810527
nq_38,15,5,5,5,0,True,0.8587860043478145
nq_39,15,5,1,0,-1,True,0.867129358416509
nq_4,15,5,4,3,-1,True,0.8652634822778797
nq_40,15,5,0,0,0,True,0.8863373361045189
nq_41,15,5,0,0,0,True,0.8370735235087217
nq_42,15,5,3,3,0,True,0.8090624904723966
nq_43,15,5,0,0,0,True,0.6904368813212758
nq_44,15,5,0,0,0,True,0.8984311914956352
nq_45,15,5,5,5,0,True,0.8586586975556342
nq_46,15,5,0,1,1,True,0.8626551913597547
nq_47,15,5,2,2,0,True,0.8723644402056744
nq_48,15,5,2,3,1,True,0.8434577214043735
nq_49,15,5,1,0,-1,True,0.8376098351029316
nq_5,15,5,0,0,0,True,0.8888063393982742
nq_50,15,5,0,0,0,True,0.8132503968617468
nq_51,15,5,2,2,0,True,0.8417895760075063
nq_52,15,5,0,0,0,True,0.6905605089810551
nq_53,15,5,3,3,0,True,0.7321601765601041
nq_54,15,5,1,2,1,True,0.8586250293275013
nq_55,15,5,2,2,0,True,0.8249703875930623
nq_56,15,5,0,0,0,True,0.7758025015688834
nq_57,15,5,4,4,0,True,0.876398654155996
nq_58,15,5,0,0,0,True,0.644994661406849
nq_59,15,5,0,0,0,True,0.6671214483044411
nq_6,15,5,0,0,0,True,0.9058967500802557
nq_60,15,5,4,4,0,True,0.7980892725757035
nq_61,15,5,4,5,1,True,0.7823651760511299
nq_62,15,5,3,1,-2,True,0.857893965044094
nq_63,15,5,1,1,0,True,0.8693924960291743
nq_64,15,5,3,3,0,True,0.8371888670370181
nq_65,15,5,5,5,0,True,0.9032599662622462
nq_66,15,5,4,4,0,True,0.8309820659179918
nq_67,15,5,0,0,0,True,0.7686284650893382
nq_68,15,5,0,0,0,True,0.8692748480420341
nq_69,15,5,0,0,0,True,0.6787632268143693
nq_7,15,5,0,0,0,True,0.9030805196519799
nq_70,15,5,0,0,0,True,0.7439220591915813
nq_71,15,5,2,2,0,True,0.8704958373298914
nq_72,15,5,3,4,1,True,0.785158793075236
nq_73,15,5,3,3,0,True,0.7363225368997981
nq_74,15,5,2,2,0,True,0.8103143524869306
nq_75,15,5,4,4,0,True,0.7895018737987641
nq_76,15,5,4,4,0,True,0.8914460782209618
nq_77,15,5,0,0,0,True,0.6384573546369702
nq_78,15,5,2,2,0,True,0.8174135103336928
nq_79,15,5,2,2,0,True,0.8260598644210679
nq_8,15,5,0,0,0,True,0.6804254111081729
nq_80,15,5,4,5,1,True,0.8710649229282179
nq_81,15,5,3,3,0,True,0.8540810978894016
nq_82,15,5,1,1,0,True,0.7994375719631821
nq_83,15,5,0,0,0,True,0.808855475497675
nq_84,15,5,0,0,0,True,0.7248043537938245
nq_85,15,5,1,1,0,True,0.8338389629969738
nq_86,15,5,2,2,0,True,0.7139759296768934
nq_87,15,5,3,3,0,True,0.7625056757054259
nq_88,15,5,2,2,0,True,0.9009832539235971
nq_89,15,5,0,0,0,True,0.8466505197747969
nq_9,15,5,0,0,0,True,0.8074523201595352
nq_90,15,5,2,2,0,True,0.6914946806861915
nq_91,15,5,0,0,0,True,0.8367339007437036
nq_92,15,5,0,0,0,True,0.9017995846648426
nq_93,15,5,0,0,0,True,0.6628492892941423
nq_94,15,5,2,2,0,True,0.7936594530074726
nq_95,15,5,5,5,0,True,0.9343623713911284
nq_96,15,5,3,3,0,True,0.7895116276864481
nq_97,15,5,1,1,0,True,0.826671142596369
nq_98,15,5,2,2,0,True,0.8988366876684454
nq_99,15,5,2,2,0,True,0.8100432637592965
