question_id,pool_size,K,control_gold_hits,submodular_gold_hits,gold_hit_delta,selection_changed,submodular_redundancy
nq_17,15,5,1,1,0,True,0.8234791843263715
nq_170,15,5,1,1,0,True,0.8395563012593872
nq_171,15,5,3,2,-1,True,0.8277094288489508
nq_172,15,5,0,0,0,True,0.6488765919871284
nq_173,15,5,2,2,0,True,0.7611273559523232
nq_174,15,5,3,3,0,True,0.8105775755463418
nq_175,15,5,3,3,0,True,0.7366950092491097
nq_176,15,5,0,0,0,True,0.7713437931181257
nq_177,15,5,1,1,0,True,0.802719988864865
nq_178,15,5,3,3,0,True,0.832698252625508
nq_179,15,5,0,0,0,True,0.6667270105069406
nq_18,15,5,1,1,0,True,0.8053153524811634
nq_180,15,5,1,2,1,True,0.8414212529711677
nq_181,15,5,2,2,0,True,0.7808408263231523
nq_182,15,5,0,0,0,True,0.6898900798902072
nq_183,15,5,0,0,0,True,0.6278008647688827
nq_184,15,5,2,2,0,True,0.8289451448847499
nq_185,15,5,0,0,0,True,0.6993636784822674
nq_186,15,5,4,4,0,True,0.8177049319897998
nq_187,15,5,1,1,0,True,0.7784468621893893
nq_188,15,5,1,1,0,True,0.6682250384102586
nq_189,15,5,0,0,0,True,0.6510085577313012
nq_19,15,5,5,4,-1,True,0.747428103483551
nq_190,15,5,3,3,0,True,0.8298663797050784
nq_191,15,5,4,4,0,True,0.7913629567748726
nq_192,15,5,1,1,0,True,0.7762841816988372
nq_193,15,5,0,0,0,True,0.7972534296949243
nq_194,15,5,3,3,0,True,0.7197537680083783
nq_195,15,5,0,0,0,True,0.9412237308935344
nq_196,15,5,4,4,0,True,0.7703895960752087
nq_197,15,5,1,1,0,True,0.8366675199396593
nq_198,15,5,5,5,0,True,0.7846494550728941
nq_199,15,5,2,2,0,True,0.7974512458037986
nq_2,15,5,3,2,-1,True,0.6945268652905741
nq_20,15,5,2,2,0,True,0.8389580345605078
nq_21,15,5,3,2,-1,True,0.637374366729417
nq_22,15,5,4,4,0,True,0.7779250985182056
nq_23,15,5,3,2,-1,True,0.8163311577081711
nq_24,15,5,4,4,0,True,0.9102010331457286
nq_25,15,5,4,4,0,True,0.7718850651428917
nq_26,15,5,0,0,0,True,0.6727415658000854
nq_27,15,5,1,1,0,True,0.6411275353263263
nq_28,15,5,5,5,0,True,0.84806005824649
nq_29,15,5,1,1,0,True,0.854679389984977
nq_3,15,5,5,5,0,True,0.8856787463091609
nq_30,15,5,4,4,0,True,0.7933957345585538
nq_31,15,5,1,1,0,True,0.8118790882970668
nq_32,15,5,0,0,0,True,0.7884039045177901
nq_33,15,5,0,0,0,True,0.6037403700293252
nq_34,15,5,2,2,0,True,0.8105511699433826
nq_35,15,5,3,3,0,True,0.900795916497173
nq_36,15,5,0,0,0,True,0.7486184147000068
nq_37,15,5,3,3,0,True,0.7393257980810527
nq_38,15,5,5,5,0,True,0.8587860043478145
nq_39,15,5,1,1,0,True,0.8500325287756467
nq_4,15,5,4,4,0,True,0.8538989055969182
nq_40,15,5,0,0,0,True,0.8863373361045189
nq_41,15,5,0,0,0,True,0.8029609282684909
nq_42,15,5,3,3,0,True,0.8090624904723966
nq_43,15,5,0,0,0,True,0.6789006493212653
nq_44,15,5,0,0,0,True,0.85913875443638
nq_45,15,5,5,5,0,True,0.8586586975556342
nq_46,15,5,0,1,1,True,0.8496241340046733
nq_47,15,5,2,2,0,True,0.8723644402056744
nq_48,15,5,2,2,0,True,0.7511788415797642
nq_49,15,5,1,1,0,True,0.7955556703109784
nq_5,15,5,0,0,0,True,0.8888063393982742
nq_50,15,5,0,0,0,True,0.7594973493197579
nq_51,15,5,2,3,1,True,0.8360686700464784
nq_52,15,5,0,0,0,True,0.6580139092928327
nq_53,15,5,3,3,0,True,0.7091926641087197
nq_54,15,5,1,1,0,True,0.8342245564672472
nq_55,15,5,2,2,0,True,0.7929647419852626
nq_56,15,5,0,0,0,True,0.7440232631394793
nq_57,15,5,4,4,0,True,0.8261734202623845
nq_58,15,5,0,0,0,True,0.6135741339489021
nq_59,15,5,0,0,0,True,0.6484230710338081
nq_6,15,5,0,0,0,True,0.9058967500802557
nq_60,15,5,4,4,0,True,0.7980892725757035
nq_61,15,5,4,4,0,True,0.7562575560518631
nq_62,15,5,3,3,0,True,0.8016470547823156
nq_63,15,5,1,1,0,True,0.814030960665535
nq_64,15,5,3,3,0,True,0.8210698008573184
nq_65,15,5,5,5,0,True,0.9032599662622465
nq_66,15,5,4,4,0,True,0.7807348065027465
nq_67,15,5,0,0,0,True,0.7000849449073352
nq_68,15,5,0,0,0,True,0.8462476448964228
nq_69,15,5,0,0,0,True,0.6787632268143693
nq_7,15,5,0,0,0,True,0.9030805196519799
nq_70,15,5,0,0,0,True,0.7029385790640859
nq_71,15,5,2,2,0,True,0.8704958373298914
nq_72,15,5,3,3,0,True,0.7401268211497769
nq_73,15,5,3,3,0,True,0.7363225368997981
nq_74,15,5,2,2,0,True,0.8103143524869306
nq_75,15,5,4,4,0,True,0.7895018737987641
nq_76,15,5,4,3,-1,True,0.822615029269582
nq_77,15,5,0,0,0,True,0.6263210278858169
nq_78,15,5,2,2,0,True,0.8174135103336928
nq_79,15,5,2,2,0,True,0.8260598644210679
nq_8,15,5,0,0,0,True,0.625220254602515
nq_80,15,5,4,4,0,True,0.8143509825920544
nq_81,15,5,3,2,-1,True,0.8229408554566826
nq_82,15,5,1,1,0,True,0.7609242606668382
nq_83,15,5,0,0,0,True,0.7450482060652505
nq_84,15,5,0,0,0,True,0.7135132356946623
nq_85,15,5,1,1,0,True,0.8338389629969738
nq_86,15,5,2,2,0,True,0.6870064431662728
nq_87,15,5,3,3,0,True,0.7217692124377784
nq_88,15,5,2,2,0,True,0.8886994540073048
nq_89,15,5,0,0,0,True,0.8466505197747967
nq_9,15,5,0,0,0,True,0.8074523201595352
nq_90,15,5,2,2,0,True,0.6479646335455793
nq_91,15,5,0,0,0,True,0.8367339007437036
nq_92,15,5,0,0,0,True,0.7839237658246304
nq_93,15,5,0,0,0,True,0.6628492892941422
nq_94,15,5,2,2,0,True,0.7324300789918519
nq_95,15,5,5,4,-1,True,0.9171641328065995
nq_96,15,5,3,2,-1,True,0.763038535187046
nq_97,15,5,1,1,0,True,0.826671142596369
nq_98,15,5,2,3,1,True,0.7930119615246382
nq_99,15,5,2,1,-1,True,0.7917610020377598
